fen,uci,label
r3kb1r/pppq1pp1/2np1n1p/4p3/2B1P1b1/2PP1N2/PP1N1PPP/R1BQ1RK1 w kq - 3 8,h2h3,1
r3kb1r/pppq1pp1/2np1n1p/4p3/2B1P1b1/2PP1N2/PP1N1PPP/R1BQ1RK1 w kq - 3 8,d3d4,0
r3kb1r/pppq1pp1/2np1n1p/4p3/2B1P1b1/2PP1N2/PP1N1PPP/R1BQ1RK1 w kq - 3 8,f1e1,0
rn1qkbnr/pp3ppp/2p1p3/3pP2b/3P4/2N2N1P/PPP1BPP1/R1BQK2R b KQkq - 1 7,c6c5,1
rn1qkbnr/pp3ppp/2p1p3/3pP2b/3P4/2N2N1P/PPP1BPP1/R1BQK2R b KQkq - 1 7,g8e7,0
rn1qkbnr/pp3ppp/2p1p3/3pP2b/3P4/2N2N1P/PPP1BPP1/R1BQK2R b KQkq - 1 7,h5f3,0
rnb1k1nr/5ppp/1q2p3/3p4/1b6/P4N2/4PPPP/RNBQKB1R w KQkq - 0 9,b1d2,1
rnb1k1nr/5ppp/1q2p3/3p4/1b6/P4N2/4PPPP/RNBQKB1R w KQkq - 0 9,c1d2,0
rnb1k1nr/5ppp/1q2p3/3p4/1b6/P4N2/4PPPP/RNBQKB1R w KQkq - 0 9,f3d2,0
rnbqkbnr/ppp2ppp/4p3/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq - 0 3,e2e3,1
rnbqkbnr/ppp2ppp/4p3/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq - 0 3,g1f3,0
rnbqkbnr/ppp2ppp/4p3/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq - 0 3,b1d2,0
5rk1/5q2/1pp4p/p2pr3/2P1nNp1/1P2P3/P1Q2PP1/2R2RK1 w - - 0 26,c4d5,1
5rk1/5q2/1pp4p/p2pr3/2P1nNp1/1P2P3/P1Q2PP1/2R2RK1 w - - 0 26,f2f3,0
5rk1/5q2/1pp4p/p2pr3/2P1nNp1/1P2P3/P1Q2PP1/2R2RK1 w - - 0 26,c1d1,0
5rk1/Rb4pp/1p6/6b1/1Pppq3/2P2N2/4B1PP/5QK1 w - - 0 29,e2c4,1
5rk1/Rb4pp/1p6/6b1/1Pppq3/2P2N2/4B1PP/5QK1 w - - 0 29,a7b7,0
5rk1/Rb4pp/1p6/6b1/1Pppq3/2P2N2/4B1PP/5QK1 w - - 0 29,c3d4,0
5r1k/R7/2p5/3p4/4rp2/3K3p/P4P1P/8 w - - 0 40,a2a4,1
5r1k/R7/2p5/3p4/4rp2/3K3p/P4P1P/8 w - - 0 40,a7b7,0
5r1k/R7/2p5/3p4/4rp2/3K3p/P4P1P/8 w - - 0 40,a7c7,0
rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq - 0 1,d7d5,1
rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq - 0 1,g8f6,0
rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e7e5,0
r3k2r/pp1bq1bp/2n1p3/2p2pp1/2Q2P2/3P2PN/PP2P1BP/RN2K2R b KQkq - 1 15,g5g4,1
r3k2r/pp1bq1bp/2n1p3/2p2pp1/2Q2P2/3P2PN/PP2P1BP/RN2K2R b KQkq - 1 15,g7b2,0
r3k2r/pp1bq1bp/2n1p3/2p2pp1/2Q2P2/3P2PN/PP2P1BP/RN2K2R b KQkq - 1 15,b7b5,0
rn1qk1nr/pbpp1ppp/1p2p3/8/1bPPP3/2N5/PPQ2PPP/R1B1KBNR b KQkq - 2 5,c7c5,1
rn1qk1nr/pbpp1ppp/1p2p3/8/1bPPP3/2N5/PPQ2PPP/R1B1KBNR b KQkq - 2 5,g8f6,0
rn1qk1nr/pbpp1ppp/1p2p3/8/1bPPP3/2N5/PPQ2PPP/R1B1KBNR b KQkq - 2 5,b4c3,0
r4r1k/pp2n1p1/2p5/3pp2p/R7/2PP3P/PP1QBqP1/R6K b - - 1 24,e7f5,1
r4r1k/pp2n1p1/2p5/3pp2p/R7/2PP3P/PP1QBqP1/R6K b - - 1 24,e7g6,0
r4r1k/pp2n1p1/2p5/3pp2p/R7/2PP3P/PP1QBqP1/R6K b - - 1 24,f8f6,0
3q2r1/p4R2/Q1pb4/2kp4/5P2/P5P1/1K1N4/R1B2B2 w - - 1 27,d2b3,1
3q2r1/p4R2/Q1pb4/2kp4/5P2/P5P1/1K1N4/R1B2B2 w - - 1 27,a6a7,0
3q2r1/p4R2/Q1pb4/2kp4/5P2/P5P1/1K1N4/R1B2B2 w - - 1 27,g3g4,0
rn1qk2r/ppp3pp/3bpn2/4p1N1/4P3/3P4/PPP2PPP/RNBQ1RK1 b kq - 2 8,d8e7,1
rn1qk2r/ppp3pp/3bpn2/4p1N1/4P3/3P4/PPP2PPP/RNBQ1RK1 b kq - 2 8,b8c6,0
rn1qk2r/ppp3pp/3bpn2/4p1N1/4P3/3P4/PPP2PPP/RNBQ1RK1 b kq - 2 8,d8d7,0
r1bq1rk1/ppp2ppp/5n2/3Np3/Pb2P3/3P3P/1B2QPPN/R4RK1 b - - 0 14,f6d5,1
r1bq1rk1/ppp2ppp/5n2/3Np3/Pb2P3/3P3P/1B2QPPN/R4RK1 b - - 0 14,b4d6,0
r1bq1rk1/ppp2ppp/5n2/3Np3/Pb2P3/3P3P/1B2QPPN/R4RK1 b - - 0 14,b4c5,0
8/5kp1/7p/2R5/8/2K1P1P1/5P1P/1n6 w - - 1 42,c3d3,1
8/5kp1/7p/2R5/8/2K1P1P1/5P1P/1n6 w - - 1 42,c3d4,0
8/5kp1/7p/2R5/8/2K1P1P1/5P1P/1n6 w - - 1 42,c3c2,0
